2024-01-02 09:28:13,066 list_server [INFO] Start Server 'start_server'
2024-01-02 10:23:22,940 list_server [INFO] Receive : ('127.0.0.1', 54344) 'handle_client'
2024-01-02 10:23:22,941 list_server [INFO] Send : ('127.0.0.1', 54344) 'handle_client'
2024-01-02 10:23:22,942 list_server [INFO] Send : ('127.0.0.1', 54344) 'handle_client'
2024-01-02 10:23:22,943 list_server [INFO] Close : ('127.0.0.1', 54344) 'handle_client'
2024-01-02 10:24:03,586 list_server [INFO] Connect : ('127.0.0.1', 38742) 'handle_client'
2024-01-02 10:24:03,587 list_server [INFO] Receive : ('127.0.0.1', 38742) 'handle_client'
2024-01-02 10:24:03,588 list_server [INFO] Send : ('127.0.0.1', 38742) 'handle_client'
2024-01-02 10:24:03,588 list_server [INFO] Send : ('127.0.0.1', 38742) 'handle_client'
2024-01-02 10:24:03,589 list_server [INFO] Close : ('127.0.0.1', 38742) 'handle_client'
2024-01-02 11:59:51,905 minecraft_server [INFO] Start Server 'socket_server'
2024-01-02 12:00:18,865 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 12:01:05,445 minecraft_server [ERROR] IP:127.0.0.1 Error : Error minecraft server 'start_minecraft_server'
2024-01-02 12:04:49,423 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 13:54:45,489 minecraft_server [INFO] Minecraft server STOP!! 'start_minecraft_server'
2024-01-02 14:02:41,342 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:12:58,654 minecraft_server [ERROR] IP:127.0.0.1 Error : Error minecraft server 'start_minecraft_server'
2024-01-02 14:12:59,664 minecraft_server [INFO] STOP!! 'socket_server'
2024-01-02 14:13:02,930 minecraft_server [INFO] Start Server 'socket_server'
2024-01-02 14:13:53,665 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:17:35,459 minecraft_server [ERROR] IP:127.0.0.1 Error : Error minecraft server 'start_minecraft_server'
2024-01-02 14:27:05,343 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:33:23,035 minecraft_server [ERROR] IP:127.0.0.1 Error : Error minecraft server 'start_minecraft_server'
2024-01-02 14:33:23,050 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:33:24,576 minecraft_server [ERROR] IP:127.0.0.1 Error : Fail get minecraft versions 'start_minecraft_server'
2024-01-02 14:33:24,577 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:33:25,587 minecraft_server [ERROR] IP:127.0.0.1 Error : Fail server.properties download 'start_minecraft_server'
2024-01-02 14:33:25,832 minecraft_server [INFO] STOP!! 'socket_server'
2024-01-02 14:45:16,155 minecraft_server [INFO] Start Server 'socket_server'
2024-01-02 14:50:35,703 minecraft_server [INFO] IP:127.0.0.1 Start 'start_minecraft_server'
2024-01-02 14:52:01,794 minecraft_server [ERROR] IP:127.0.0.1 Error : Error minecraft server 'start_minecraft_server'
2024-01-02 15:40:59,358 minecraft_server [INFO] STOP!! 'socket_server'
2024-01-02 15:41:05,996 list_server [INFO] Start Server 'start_server'
